unique_id,type,response_0.0,response_0.7,response_1.0
0_coral,brand,The,Based,Given
101_coral,brand,3,3,3
103_coral,brand,3,3,3
104_coral,brand,2,2,2
105_coral,brand,4,The,4
106_coral,brand,3,The,4
107_coral,brand,3,Based,Following
108_coral,brand,Based,I,Based
109_coral,brand,3,Given,3
10_coral,brand,The,The,The
110_coral,brand,3,3,The
111_coral,brand,2,2,2
112_coral,brand,2,2,2
113_coral,brand,Based,The,3
114_coral,brand,3,Considering,I
115_coral,brand,3,3,3
116_coral,brand,6,6,Based
117_coral,brand,3,3,3
119_coral,brand,12,12,The
11_coral,brand,4,4,Based
120_coral,brand,Given,No,Based
121_coral,brand,Based,The,Based
122_coral,brand,3,3,3
123_coral,brand,3,3,3
124_coral,brand,Based,The,Based
125_coral,brand,3,3,Given
126_coral,brand,3,3,The
127_coral,brand,The,Based,4
128_coral,brand,2,Based,2
129_coral,brand,3,3,3
12_coral,brand,12,I,The
130_coral,brand,Based,Based,Based
131_coral,brand,Based,The,The
132_coral,brand,2,2,3
134_coral,brand,The,2,The
135_coral,brand,6,6,The
136_coral,brand,3,3,3
137_coral,brand,1,1,Considering
138_coral,brand,3,The,Considering
139_coral,brand,3,3,3
13_coral,brand,2,The,2
140_coral,brand,3,In,The
141_coral,brand,The,2,Next
142_coral,brand,4,4,4
143_coral,brand,3,3,2
144_coral,brand,The,6,5
145_coral,brand,3,3,3
146_coral,brand,3,3,The
147_coral,brand,Given,Given,The
148_coral,brand,4,The,4
149_coral,brand,4,4,The
150_coral,brand,3,3,3
151_coral,brand,3,3,Based
152_coral,brand,3,3,Taking
153_coral,brand,3,3,The
154_coral,brand,3,3,Given
155_coral,brand,1,Based,Based
156_coral,brand,4,4,4
157_coral,brand,4,4,4
158_coral,brand,6,6,6
15_coral,brand,Based,Based,Based
160_coral,brand,3,The,Based
161_coral,brand,Based,Based,Based
162_coral,brand,8,8,The
163_coral,brand,3,Given,Based
164_coral,brand,2,Based,2
165_coral,brand,The,The,2
166_coral,brand,Based,The,2
167_coral,brand,3,3,3
168_coral,brand,1,1,The
169_coral,brand,3,3,3
16_coral,brand,6,Based,Follow
170_coral,brand,1,1,1
171_coral,brand,1,1,1
172_coral,brand,Based,Based,The
173_coral,brand,Based,6,Based
174_coral,brand,3,3,3
175_coral,brand,1,The,Given
176_coral,brand,Based,6,In
