unique_id,type,response_0.0,response_0.7,response_1.0
0_coral,brand,The,3,3
101_coral,brand,3,3,3
103_coral,brand,1,1,1
104_coral,brand,2,3,2
105_coral,brand,4,4,4
106_coral,brand,3,3,3
107_coral,brand,2,The,The
108_coral,brand,3,3,Given
109_coral,brand,3,3,3
10_coral,brand,6,6,3
110_coral,brand,The,The,The
111_coral,brand,2,2,2
112_coral,brand,1,1,1
113_coral,brand,1,1,1
114_coral,brand,3,3,Given
115_coral,brand,3,3,3
116_coral,brand,6,3,6
117_coral,brand,1,1,1
119_coral,brand,12,12,12
11_coral,brand,4,4,4
120_coral,brand,1,1,0
121_coral,brand,3,3,Given
122_coral,brand,3,Given,Given
123_coral,brand,1,1,1
124_coral,brand,The,2,Based
125_coral,brand,3,3,6
126_coral,brand,3,3,3
127_coral,brand,1,Based,Based
128_coral,brand,0,The,2
129_coral,brand,3,3,3
12_coral,brand,6,6,6
130_coral,brand,1,1,1
131_coral,brand,3,Given,3
132_coral,brand,2,The,2
134_coral,brand,The,The,The
135_coral,brand,6,3,6
136_coral,brand,3,3,1
137_coral,brand,1,1,1
138_coral,brand,3,3,Based
139_coral,brand,1,1,1
13_coral,brand,2,The,The
140_coral,brand,3,3,3
141_coral,brand,1,1,1
142_coral,brand,2,2,2
143_coral,brand,4,4,4
144_coral,brand,3,3,3
145_coral,brand,1,1,1
146_coral,brand,3,3,3
147_coral,brand,Given,1,1
148_coral,brand,6,6,4
149_coral,brand,1,1,1
150_coral,brand,3,3,3
151_coral,brand,3,3,3
152_coral,brand,1,1,Based
153_coral,brand,3,1,1
154_coral,brand,2,2,2
155_coral,brand,The,1,1
156_coral,brand,3,3,3
157_coral,brand,4,4,4
158_coral,brand,6,6,6
15_coral,brand,Given,3,The
160_coral,brand,3,3,3
161_coral,brand,3,Based,Based
162_coral,brand,2,2,2
163_coral,brand,3,3,3
164_coral,brand,2,2,2
165_coral,brand,1,1,1
166_coral,brand,2,2,2
167_coral,brand,3,The,3
168_coral,brand,1,1,1
169_coral,brand,3,3,3
16_coral,brand,The,The,3
170_coral,brand,0,0,The
171_coral,brand,1,1,1
172_coral,brand,2,The,2
173_coral,brand,3,3,3
174_coral,brand,3,3,3
175_coral,brand,1,1,1
176_coral,brand,Given,Given,Given
177_coral,brand,Given,Given,1
178_coral,brand,Given,3,3
179_coral,brand,3,3,3
17_coral,brand,6,Given,The
180_coral,brand,1,3,1
181_coral,brand,2,The,2
182_coral,brand,1,1,Considering
183_coral,brand,1,1,6
184_coral,brand,1,1,1
185_coral,brand,1,1,3
186_coral,brand,3,3,3
187_coral,brand,The,0,The
188_coral,brand,3,3,3
189_coral,brand,6,6,6
190_coral,brand,3,3,3
191_coral,brand,3,The,3
192_coral,brand,1,Considering,2
193_coral,brand,2,2,2
194_coral,brand,3,3,3
195_coral,brand,2,2,2
196_coral,brand,1,1,1
197_coral,brand,1,1,Given
199_coral,brand,3,3,Given
19_coral,brand,1,1,1
1_coral,brand,3,3,3
20_coral,brand,3,3,3
21_coral,brand,The,The,The
22_coral,brand,3,3,3
23_coral,brand,Given,3,3
24_coral,brand,3,3,3
25_coral,brand,The,The,The
26_coral,brand,3,3,3
27_coral,brand,The,Based,Based
28_coral,brand,3,3,3
29_coral,brand,3,3,3
30_coral,brand,1,1,1
31_coral,brand,3,6,The
32_coral,brand,6,6,6
33_coral,brand,6,6,6
34_coral,brand,6,6,6
35_coral,brand,0,2,2
36_coral,brand,The,Based,Considering
37_coral,brand,The,The,The
38_coral,brand,3,3,Considering
39_coral,brand,3,3,3
3_coral,brand,6,6,6
40_coral,brand,3,Based,Given
41_coral,brand,1,1,1
42_coral,brand,6,The,6
43_coral,brand,1,1,1
44_coral,brand,3,3,Given
45_coral,brand,3,3,3
46_coral,brand,6,6,6
47_coral,brand,The,The,The
48_coral,brand,The,The,6
49_coral,brand,The,The,3
4_coral,brand,The,The,The
50_coral,brand,3,3,3
51_coral,brand,3,3,The
52_coral,brand,3,The,Given
53_coral,brand,1,1,1
54_coral,brand,6,6,6
55_coral,brand,The,1,The
56_coral,brand,3,3,3
57_coral,brand,6,6,6
58_coral,brand,6,6,6
5_coral,brand,3,3,3
60_coral,brand,The,The,Based
62_coral,brand,3,6,3
63_coral,brand,The,The,The
64_coral,brand,1,1,1
65_coral,brand,The,Based,6
66_coral,brand,3,3,3
69_coral,brand,3,3,3
6_coral,brand,3,3,3
70_coral,brand,Considering,The,Considering
71_coral,brand,3,3,3
72_coral,brand,4,4,4
73_coral,brand,3,3,3
74_coral,brand,3,Given,The
75_coral,brand,2,The,2
76_coral,brand,The,The,Given
77_coral,brand,3,Given,Based
78_coral,brand,3,3,3
79_coral,brand,1,1,1
7_coral,brand,3,The,Given
80_coral,brand,The,The,The
81_coral,brand,The,The,The
82_coral,brand,3,3,Next
83_coral,brand,The,The,According
84_coral,brand,2,The,2
85_coral,brand,6,3,6
87_coral,brand,3,3,3
88_coral,brand,The,The,The
89_coral,brand,1,1,1
8_coral,brand,The,3,The
90_coral,brand,1,1,1
91_coral,brand,1,1,1
92_coral,brand,Based,Based,The
93_coral,brand,6,6,6
94_coral,brand,3,3,3
95_coral,brand,The,The,The
97_coral,brand,1,1,1
98_coral,brand,The,0,The
99_coral,brand,1,1,1
9_coral,brand,6,6,6
0_coral,generic,The,The,Given
101_coral,generic,3,3,3
103_coral,generic,3,I,2
104_coral,generic,2,2,2
105_coral,generic,4,4,4
106_coral,generic,3,The,The
107_coral,generic,3,The,3
108_coral,generic,Based,Given,Based
109_coral,generic,3,Considering,3
10_coral,generic,The,Based,Based
110_coral,generic,3,The,Based
111_coral,generic,2,2,2
112_coral,generic,2,2,2
113_coral,generic,The,Based,Based
114_coral,generic,3,Given,Based
115_coral,generic,3,Based,3
116_coral,generic,6,6,6
117_coral,generic,Based,2,1
119_coral,generic,12,12,12
11_coral,generic,4,4,Based
120_coral,generic,1,0,0
121_coral,generic,Based,Given,Based
122_coral,generic,3,3,Based
123_coral,generic,3,5,3
124_coral,generic,Based,Based,The
125_coral,generic,3,3,Based
126_coral,generic,3,3,The
127_coral,generic,The,The,3
128_coral,generic,2,2,1
129_coral,generic,3,The,3
12_coral,generic,12,12,Given
