unique_id,type,response_0.0,response_0.7,response_1.0
0,brand,24,24,24
1,brand,6,6,6
10,brand,12,6,12
101,brand,24,12,24
103,brand,3,3,3
104,brand,6,6,6
105,brand,24,24,24
106,brand,24,24,24
107,brand,6,6,6
108,brand,12,12,12
109,brand,6,6,6
11,brand,6,6,12
110,brand,6,6,6
111,brand,6,6,6
112,brand,6,6,6
113,brand,12,12,12
114,brand,6,6,6
115,brand,24,24,24
116,brand,6,6,6
117,brand,6,6,12
119,brand,60,60,60
12,brand,120,120,120
120,brand,2,2,2
121,brand,6,6,6
122,brand,6,6,6
123,brand,12,12,12
124,brand,12,12,6
125,brand,6,6,6
126,brand,6,6,6
127,brand,6,6,6
128,brand,6,6,6
129,brand,6,6,6
13,brand,12,6,12
130,brand,12,12,12
131,brand,6,6,6
132,brand,6,6,6
134,brand,6,6,6
135,brand,60,60,60
136,brand,6,6,6
137,brand,6,6,6
138,brand,3,3,6
139,brand,6,6,6
140,brand,12,12,12
141,brand,6,6,6
142,brand,12,12,12
143,brand,6,6,6
144,brand,24,24,24
145,brand,6,6,6
146,brand,12,12,12
147,brand,1,1,1
148,brand,12,12,12
149,brand,6,6,6
15,brand,120,120,120
150,brand,12,12,12
151,brand,12,12,6
152,brand,6,6,6
153,brand,6,6,6
154,brand,6,6,6
155,brand,12,12,12
156,brand,12,12,12
157,brand,24,24,24
158,brand,24,24,24
16,brand,120,120,120
160,brand,24,24,24
161,brand,6,6,6
162,brand,6,6,6
163,brand,6,6,6
164,brand,6,6,6
165,brand,12,12,12
166,brand,12,6,12
167,brand,12,12,12
168,brand,6,6,6
169,brand,12,12,6
17,brand,120,60,60
170,brand,6,6,6
171,brand,6,6,6
172,brand,12,12,6
173,brand,6,6,6
174,brand,24,24,24
175,brand,6,6,6
176,brand,24,24,24
177,brand,6,3,6
178,brand,6,6,6
179,brand,12,12,12
180,brand,6,6,6
181,brand,6,6,6
182,brand,6,6,6
183,brand,6,6,6
184,brand,6,6,6
185,brand,6,6,6
186,brand,24,24,24
187,brand,6,6,6
188,brand,12,12,12
189,brand,12,6,12
19,brand,24,24,12
190,brand,24,24,24
191,brand,12,12,12
192,brand,6,6,6
193,brand,6,12,6
194,brand,6,6,6
195,brand,6,6,3
196,brand,6,6,6
197,brand,6,6,6
199,brand,6,6,6
20,brand,240,240,240
21,brand,12,12,12
22,brand,120,120,120
23,brand,60,60,120
24,brand,6,6,6
25,brand,60,36,36
26,brand,24,24,24
27,brand,120,120,120
28,brand,120,120,60
29,brand,24,24,24
3,brand,60,120,120
30,brand,12,18,12
31,brand,24,24,24
32,brand,60,60,60
33,brand,24,24,12
34,brand,120,120,Given
35,brand,24,60,60
36,brand,36,36,36
37,brand,24,24,24
38,brand,36,The,36
39,brand,120,120,120
4,brand,12,12,12
40,brand,60,60,60
41,brand,120,120,120
42,brand,24,24,12
43,brand,60,60,24
44,brand,12,12,12
45,brand,24,24,24
46,brand,120,120,120
47,brand,60,60,60
48,brand,60,60,60
49,brand,24,24,24
5,brand,120,120,120
50,brand,12,12,12
51,brand,120,60,60
52,brand,60,36,24
53,brand,36,36,24
54,brand,120,120,180
55,brand,36,36,36
56,brand,24,24,36
57,brand,120,120,120
58,brand,60,120,120
6,brand,12,24,12
60,brand,120,120,120
62,brand,24,24,24
63,brand,24,24,24
64,brand,24,24,60
65,brand,18,24,18
66,brand,12,12,12
69,brand,24,24,36
7,brand,24,24,24
70,brand,60,60,60
71,brand,60,120,60
72,brand,60,60,60
73,brand,12,12,12
74,brand,24,24,24
75,brand,24,24,24
76,brand,60,120,60
77,brand,6,6,6
78,brand,6,6,3
79,brand,60,60,60
8,brand,60,60,60
80,brand,120,120,120
81,brand,120,60,120
82,brand,24,24,24
83,brand,6,6,6
84,brand,12,12,12
85,brand,12,12,12
87,brand,12,12,12
88,brand,120,120,120
89,brand,24,24,24
9,brand,60,60,60
90,brand,12,12,12
91,brand,12,12,12
92,brand,24,24,24
93,brand,120,60,60
94,brand,60,60,60
95,brand,120,120,120
97,brand,12,12,Based
98,brand,12,12,12
99,brand,6,6,6
0,generic,The,Given,The
1,generic,The,Based,Based
10,generic,Based,Based,The
101,generic,The,The,The
103,generic,2,3,2
104,generic,Based,Based,Based
105,generic,Based,Based,Based
106,generic,12,Based,Based
107,generic,Based,Based,Based
108,generic,12,Based,Based
109,generic,Based,Based,Based
11,generic,Based,The,The
110,generic,Based,Considering,Based
111,generic,The,The,3
112,generic,Based,Based,Considering
113,generic,Based,Based,Based
114,generic,The,The,The
115,generic,The,The,Considering
116,generic,Based,The,Based
117,generic,Based,The,The
119,generic,Based,Based,Based
12,generic,60,The,60
120,generic,1,1,1
121,generic,Based,Based,Based
122,generic,Based,Based,Based
123,generic,The,Pro,The
124,generic,Based,Based,Based
125,generic,Based,The,Taking
126,generic,Based,I,Given
127,generic,Based,Based,The
128,generic,Based,Based,Based
129,generic,Based,3,The
13,generic,Based,Based,The
130,generic,Based,Based,Based
131,generic,Based,Based,Based
132,generic,Based,Based,Based
134,generic,The,Based,I
135,generic,Based,Based,Based
136,generic,The,The,The
137,generic,Based,The,The
138,generic,The,The,The
139,generic,Based,The,Based
140,generic,Based,Given,The
141,generic,Based,Based,Based
142,generic,Based,Based,Given
143,generic,Based,Given,Based
144,generic,The,12,The
145,generic,3,The,Based
146,generic,Based,The,I
147,generic,The,The,The
148,generic,Based,12,The
149,generic,Based,Based,Based
15,generic,The,The,48
150,generic,Based,Based,6
151,generic,The,The,The
152,generic,Based,The,The
153,generic,Based,Given,Given
154,generic,Based,Based,The
155,generic,Based,Based,Based
156,generic,12,Based,12
157,generic,Based,Based,Based
158,generic,Based,Given,Given
16,generic,60,60,48
160,generic,12,Based,Based
161,generic,Based,The,Based
162,generic,Based,The,Based
163,generic,Based,The,Based
164,generic,Based,Given,With
165,generic,Based,Based,I
166,generic,Based,Based,The
167,generic,Based,Based,The
168,generic,Based,The,I
169,generic,Based,The,Based
17,generic,The,The,48
170,generic,The,Based,The
171,generic,Based,Based,The
172,generic,Based,Based,Based
173,generic,Based,Based,Given
174,generic,Based,The,Based
175,generic,Based,Based,Based
176,generic,Based,The,The
177,generic,Based,Based,Based
178,generic,The,Based,Based
179,generic,Based,The,Based
180,generic,Based,Based,Based
181,generic,Based,Based,Based
182,generic,Based,Considering,Based
183,generic,Based,Based,Considering
184,generic,The,The,Based
185,generic,Based,I,I
186,generic,Based,12,Based
187,generic,Based,Based,Based
188,generic,The,Based,12
189,generic,Based,Based,Based
19,generic,The,Based,The
190,generic,Based,Based,Based
191,generic,Based,Considering,Based
192,generic,Based,Taking,Taking
193,generic,Based,Based,Based
194,generic,Based,Based,The
195,generic,Based,Based,Based
196,generic,Based,Based,The
197,generic,Based,Based,The
199,generic,Based,The,Approx
20,generic,60,The,60
21,generic,Based,Given,Based
22,generic,The,I,I
23,generic,The,Based,The
24,generic,The,The,Based
25,generic,The,Based,24
26,generic,Based,Based,Given
27,generic,60,60,The
28,generic,Based,Based,24
29,generic,12,Given,Pro
3,generic,The,Based,The
30,generic,Based,Based,As
31,generic,Based,Based,Based
32,generic,Based,Based,Based
33,generic,12,I,12
34,generic,60,The,Based
35,generic,Based,Based,Based
36,generic,The,Based,The
37,generic,Based,Based,Based
38,generic,The,The,The
39,generic,Based,12,The
4,generic,Based,The,The
40,generic,The,12,Approx
41,generic,The,36,36
42,generic,Based,Based,The
43,generic,Based,I,I
44,generic,Based,The,Based
45,generic,12,12,12
46,generic,The,The,Given
47,generic,The,The,This
48,generic,Based,The,The
49,generic,Based,The,Based
5,generic,Based,Considering,The
50,generic,Based,Given,The
51,generic,Based,Based,36
52,generic,The,The,Based
53,generic,Based,Given,The
54,generic,60,The,The
55,generic,The,The,Based
56,generic,Based,Based,Based
57,generic,Based,Based,Based
58,generic,The,The,36
6,generic,Based,Based,Based
60,generic,The,The,The
62,generic,12,12,12
63,generic,The,The,Pro
64,generic,The,Based,18
65,generic,The,12,Based
66,generic,The,The,Based
69,generic,12,12,Based
7,generic,Based,12,Based
70,generic,The,I,18
71,generic,Based,The,I
72,generic,The,12,12
73,generic,12,The,18
74,generic,The,The,Considering
75,generic,Based,Based,Based
76,generic,The,Based,I
77,generic,Based,Based,Based
78,generic,Based,Based,Based
79,generic,Based,The,Based
8,generic,Based,Based,The
80,generic,Based,Based,Given
81,generic,Based,The,The
82,generic,Based,The,The
83,generic,Based,Considering,Unfortunately
84,generic,Based,The,Based
85,generic,Based,Based,Based
87,generic,Based,Based,Based
88,generic,The,60,With
89,generic,Based,The,Based
9,generic,Based,The,The
90,generic,The,Based,Based
91,generic,Based,Based,Based
92,generic,Based,Based,The
93,generic,Based,Based,Based
94,generic,Based,Based,The
95,generic,The,The,Based
97,generic,Based,The,Given
98,generic,The,The,12
99,generic,Based,Based,Given
