unique_id,type,response_0.0,response_0.7,response_1.0
0_coral,brand,Given,Given,Given
101_coral,brand,3,3,3
103_coral,brand,Given,Given,Given
104_coral,brand,2,2,2
105_coral,brand,4,4,Based
106_coral,brand,3,The,4
107_coral,brand,2,2,The
108_coral,brand,Based,The,The
109_coral,brand,The,Based,The
10_coral,brand,The,The,Given
110_coral,brand,The,The,1
111_coral,brand,The,The,The
112_coral,brand,2,2,The
113_coral,brand,The,1,The
114_coral,brand,Given,Given,Given
115_coral,brand,3,3,The
116_coral,brand,6,6,Based
117_coral,brand,1,1,1
119_coral,brand,12,12,12
11_coral,brand,4,4,Based
120_coral,brand,Given,Given,Given
121_coral,brand,Based,3,The
122_coral,brand,The,The,In
123_coral,brand,The,1,1
124_coral,brand,2,2,Given
125_coral,brand,Given,Given,Given
126_coral,brand,3,3,3
127_coral,brand,The,The,1
128_coral,brand,2,2,2
129_coral,brand,3,2,3
12_coral,brand,6,Given,6
130_coral,brand,1,1,1
131_coral,brand,Given,For,The
132_coral,brand,2,2,2
134_coral,brand,The,The,The
135_coral,brand,6,3,6
136_coral,brand,Given,6,Based
137_coral,brand,The,The,Based
138_coral,brand,The,Given,Given
139_coral,brand,Given,Given,Given
13_coral,brand,2,The,The
140_coral,brand,Given,Given,Given
141_coral,brand,The,1,1
142_coral,brand,2,2,The
143_coral,brand,6,6,6
144_coral,brand,The,Based,Given
145_coral,brand,1,Based,1
146_coral,brand,3,3,3
147_coral,brand,Given,Given,Given
148_coral,brand,6,6,6
149_coral,brand,1,1,The
150_coral,brand,3,3,The
151_coral,brand,Given,Given,3
152_coral,brand,Given,The,The
153_coral,brand,Given,Given,Considering
154_coral,brand,2,2,2
155_coral,brand,1,1,1
156_coral,brand,3,3,4
157_coral,brand,4,4,4
158_coral,brand,6,6,6
15_coral,brand,The,Given,Given
160_coral,brand,3,3,3
161_coral,brand,The,Given,Based
162_coral,brand,2,2,2
163_coral,brand,Given,Given,Given
164_coral,brand,The,**,The
165_coral,brand,1,1,1
166_coral,brand,2,The,The
167_coral,brand,The,Based,Given
168_coral,brand,1,The,In
169_coral,brand,3,3,3
16_coral,brand,The,The,The
170_coral,brand,The,1,The
171_coral,brand,Given,Given,Given
172_coral,brand,2,2,2
173_coral,brand,Given,The,Given
174_coral,brand,The,3,The
175_coral,brand,The,1,Given
