unique_id,type,response_0.0,response_0.7,response_1.0
0,brand,Given,Based,Given
1,brand,Given,Based,The
10,brand,6,6,Given
101,brand,The,The,12
103,brand,3,3,2
104,brand,6,6,Given
105,brand,Based,The,Based
106,brand,The,The,The
107,brand,6,The,6
108,brand,12,12,12
109,brand,6,The,4
11,brand,6,Based,The
110,brand,6,6,Based
111,brand,6,6,6
112,brand,6,Based,The
113,brand,The,6,6
114,brand,Given,Given,Based
115,brand,Based,Based,Based
116,brand,6,6,The
117,brand,6,Based,12
119,brand,Based,Given,48
12,brand,The,The,Based
120,brand,1,1,1
121,brand,6,The,4
122,brand,6,6,6
123,brand,The,The,Based
124,brand,Based,Based,10
125,brand,6,6,6
126,brand,Based,4,Based
127,brand,6,6,3
128,brand,6,6,5
129,brand,6,6,6
13,brand,6,6,6
130,brand,Given,6,6
131,brand,6,Based,6
132,brand,6,The,4
134,brand,The,The,The
135,brand,The,The,Based
136,brand,6,6,6
137,brand,The,6,6
138,brand,6,The,6
139,brand,6,Given,Based
140,brand,12,12,10
141,brand,6,Given,6
142,brand,The,Based,10
143,brand,6,Based,6
144,brand,Based,20,The
145,brand,6,Given,Based
146,brand,Based,12,The
147,brand,2,2,The
148,brand,Given,Based,12
149,brand,6,8,4
15,brand,Based,Based,For
150,brand,Based,Given,Given
151,brand,6,Based,The
152,brand,6,6,6
153,brand,6,Based,The
154,brand,6,6,6
155,brand,The,The,The
156,brand,The,The,12
157,brand,Based,Given,24
158,brand,Based,Given,Given
16,brand,Based,Based,Based
160,brand,12,The,20
161,brand,6,Based,Based
162,brand,6,4,4
163,brand,6,6,4
164,brand,6,Based,Approximately
165,brand,6,6,The
166,brand,The,6,The
167,brand,The,The,The
168,brand,6,6,The
169,brand,6,12,Considering
17,brand,Based,60,60
170,brand,4,6,4
171,brand,6,Based,Based
172,brand,12,Based,12
173,brand,Given,Given,The
174,brand,12,12,12
175,brand,The,Given,Based
176,brand,Given,Considering,Based
177,brand,6,6,6
178,brand,6,6,6
179,brand,6,6,The
180,brand,6,6,6
181,brand,6,6,Given
182,brand,6,6,4
