unique_id,type,response_0.0,response_0.7,response_1.0
10_tecentriq_Cardiovascular_toxicities_0_differential,brand,"1. Fatigue and myalgia related to the side effects of the combination therapy (biocarb + abitaxel + altuzan + tecentriq) for stage IV NSCLC.
2. Cancer-related fatigue due to the advanced stage of the disease (stage IV NSCLC).
3. Anemia secondary to the cancer and/or cancer treatment contributing to fatigue and muscle aches.","1. Fatigue and myalgia due to the side effects of biocarb, abitaxel, altuzan, and tecentriq combination therapy
2. Cancer-related fatigue and muscle aches secondary to stage IV NSCLC
3. Anemia-related fatigue and muscle aches due to the cancer and/or cancer treatment","1. Treatment-related fatigue and myalgia
2. Side effects of biocarb + abitaxel + altuzan + tecentriq combination therapy
3. Musculoskeletal symptoms from cancer progression"
10_tecentriq_Cardiovascular_toxicities_1_differential,brand,"1. Side effect of the combination therapy (biocarb + abitaxel + altuzan + tecentriq)
2. Anxiety or stress related to the cancer diagnosis and treatment
3. Gastroesophageal reflux disease (GERD) or related symptoms","['1. Cardiotoxicity from cancer treatment (biocarb + abitaxel + altuzan + tecentriq)',
 '2. Anxiety',
 '3. Gastroesophageal reflux disease exacerbation']","[""1. Cardiotoxicity from cancer treatment (biocarb + abitaxel + altuzan + tecentriq)"",
""2. Possible side effect of tecentriq (immune-related adverse event)"",
""3. Anxiety or stress-related palpitations""]"
10_tecentriq_Cardiovascular_toxicities_2_differential,brand,"1. Treatment-related side effect (e.g., cardiotoxicity from chemotherapy)
2. Disease progression of stage IV NSCLC
3. GERD exacerbation or related chest pain","1. Pain related to lung cancer metastasis
2. Chemotherapy-induced chest pain
3. GERD exacerbation causing chest pain","['1. Cancer-related chest pain (from NSCLC)',
'2. GERD exacerbation',
'3. Musculoskeletal chest pain']"
10_tecentriq_Cardiovascular_toxicities_3_differential,brand,"1. Anemia: The patient's reported symptoms of feeling lightheaded and short of breath could be indicative of anemia, which is a common side effect of chemotherapy.

2. Chemotherapy-induced fatigue: The combination therapy the patient is receiving (biocarb + abitaxel + altuzan + tecentriq) can cause fatigue as a side effect, leading to the reported symptoms.

3. Pulmonary embolism: Given the patient's diagnosis of stage IV NSCLC and the symptoms of feeling lightheaded and short of breath, pulmonary embolism should also be considered as a possibility.","['Treatment-related side effects (e.g., anemia, neutropenia) from biocarb + abitaxel + altuzan + tecentriq combination therapy',
 'Disease progression of stage IV non-small cell lung cancer (NSCLC)',
 'GERD exacerbation leading to lightheadedness and shortness of breath']","1. Chemotherapy-induced anemia
2. Chemotherapy-induced fatigue
3. Chemotherapy-induced dyspnea"
10_tecentriq_Cardiovascular_toxicities_4_differential,brand,"1. Peripheral edema due to the combination therapy of biocarb + abitaxel + altuzan + tecentriq
2. Venous insufficiency
3. Side effect of prilosec leading to fluid retention","1. Peripheral edema due to the combination cancer therapy (biocarb + abitaxel + altuzan + tecentriq)
2. Venous insufficiency due to long-term cancer treatment
3. Cardiac dysfunction due to the stress of cancer and treatment.","1. Peripheral edema related to his cancer treatment (biocarb + abitaxel + altuzan + tecentriq)
2. Drug-induced peripheral edema from the medications he is currently taking
3. Venous insufficiency (less likely due to acute onset after starting cancer treatment)"
10_tecentriq_Cardiovascular_toxicities_5_differential,brand,"1. Chemotherapy-induced anemia
2. Progression of lung cancer leading to worsening shortness of breath
3. Pulmonary embolism","1. Anemia due to chemotherapy (biocarb + abitaxel + altuzan)
2. Lung cancer progression causing shortness of breath
3. Pulmonary embolism due to cancer-associated hypercoagulability","1. Cardiopulmonary causes such as pulmonary embolism or heart failure
2. Anemia secondary to cancer or cancer treatment
3. Cancer progression or treatment-related side effects leading to fatigue or shortness of breath"
10_tecentriq_Cutaneous_toxicities_0_differential,brand,"1. Drug reaction/allergy to one of the medications in the biocarb + abitaxel + altuzan + tecentriq combination therapy
2. Dermatological side effect of the cancer treatment regimen
3. Paraneoplastic syndrome related to the underlying lung cancer","1. Drug reaction/allergy to one of the medications in the combination therapy (biocarb, abitaxel, altuzan, tecentriq)
2. Dermatologic side effect of one of the medications in the combination therapy
3. Paraneoplastic syndrome related to the lung cancer","1. Drug reaction: The patient's new onset itchy rash all over the body, occurring after starting multiple chemotherapy drugs (biocarb, abitaxel, altuzan, tecentriq), suggests a drug reaction as the most likely diagnosis.
2. Allergic reaction: Allergic reactions to one or more of the chemotherapy drugs could be causing the itchy rash.
3. Dermatologic side effect of treatment: The rash could be a dermatologic side effect of the combination chemotherapy drugs the patient is currently receiving."
10_tecentriq_Cutaneous_toxicities_1_differential,brand,"1. Cutaneous side effects of the cancer treatment regimen (biocarb + abitaxel + altuzan + tecentriq)
2. Cutaneous metastases from the stage IV NSCLC
3. Dermatologic condition unrelated to cancer treatment or diagnosis","1. Cutaneous metastases from stage IV non-small cell lung cancer
2. Drug reaction to biocarb, abitaxel, altuzan, or tecentriq
3. Eruption of skin lesions due to an unrelated dermatologic condition","1. Cutaneous side effect of the cancer treatment combination (biocarb + abitaxel + altuzan + tecentriq)
2. Cutaneous metastasis of the stage IV NSCLC
3. Drug reaction to one of the medications (e.g., tecentriq)"
10_tecentriq_Cutaneous_toxicities_2_differential,brand,"1. Drug reaction or side effect from the combination therapy of biocarb + abitaxel + altuzan + tecentriq
2. Cutaneous metastases from the stage IV NSCLC
3. Dermatological condition unrelated to cancer or treatment, such as eczema or psoriasis","1. Drug reaction (biocarb, abitaxel, altuzan, tecentriq)
2. Cutaneous metastases from lung cancer (Stage IV NSCLC)
3. Dermatitis or rash related to treatment or underlying condition (NSCLC or GERD)","['1. Drug reaction/allergy related to biocarb, abitaxel, altuzan, or tecentriq',
 '2. Paraneoplastic syndrome associated with lung cancer',
 '3. Other dermatological condition unrelated to cancer or cancer treatment']"
10_tecentriq_Cutaneous_toxicities_3_differential,brand,"1. Drug-induced skin discoloration
2. Cutaneous metastases from lung cancer
3. Paraneoplastic skin manifestations","['1. Drug-induced skin changes (side effect of biocarb, abitaxel, altuzan, tecentriq combination therapy)', '2. Paraneoplastic syndrome related skin changes secondary to NSCLC', '3. Dermatologic manifestation of Gastroesophageal reflux disease (GERD)']","1. Drug-induced rash or drug reaction related to the current cancer treatment regimen (biocarb + abitaxel + altuzan + tecentriq)
2. Paraneoplastic syndrome associated with stage IV NSCLC
3. Dermatologic manifestation of advanced cancer disease process"
