unique_id,type,response_0.0,response_0.7,response_1.0
10_tecentriq_Cardiovascular_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Cardiovascular_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Cardiovascular_toxicities_2_irae_detection_irae,brand,3,3,4
10_tecentriq_Cardiovascular_toxicities_3_irae_detection_irae,brand,3,3,4
10_tecentriq_Cardiovascular_toxicities_4_irae_detection_irae,brand,2,2,2
10_tecentriq_Cardiovascular_toxicities_5_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_0_irae_detection_irae,brand,3,4,4
10_tecentriq_Cutaneous_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_2_irae_detection_irae,brand,4,3,3
10_tecentriq_Cutaneous_toxicities_3_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_4_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_5_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_6_irae_detection_irae,brand,3,3,3
10_tecentriq_Cutaneous_toxicities_7_irae_detection_irae,brand,3,4,3
10_tecentriq_Cutaneous_toxicities_8_irae_detection_irae,brand,4,4,4
10_tecentriq_Cutaneous_toxicities_9_irae_detection_irae,brand,3,4,3
10_tecentriq_Endocrine_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Endocrine_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Endocrine_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Endocrine_toxicities_3_irae_detection_irae,brand,3,3,3
10_tecentriq_Endocrine_toxicities_4_irae_detection_irae,brand,3,4,4
10_tecentriq_GI_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_GI_toxicities_1_irae_detection_irae,brand,4,4,3
10_tecentriq_GI_toxicities_2_irae_detection_irae,brand,4,4,4
10_tecentriq_GI_toxicities_3_irae_detection_irae,brand,3,3,3
10_tecentriq_GI_toxicities_4_irae_detection_irae,brand,2,2,1
10_tecentriq_GI_toxicities_5_irae_detection_irae,brand,2,2,1
10_tecentriq_Hematologic_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Hematologic_toxicities_1_irae_detection_irae,brand,2,2,2
10_tecentriq_Hematologic_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Hematologic_toxicities_3_irae_detection_irae,brand,3,3,3
10_tecentriq_Lung_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Lung_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Lung_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Musculoskeletal_toxicities_0_irae_detection_irae,brand,3,4,3
10_tecentriq_Musculoskeletal_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Musculoskeletal_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Nervous_system_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Nervous_system_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Ocular_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Ocular_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Ocular_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Renal_toxicities_0_irae_detection_irae,brand,3,3,3
10_tecentriq_Renal_toxicities_1_irae_detection_irae,brand,3,3,3
10_tecentriq_Renal_toxicities_2_irae_detection_irae,brand,3,3,3
10_tecentriq_Renal_toxicities_3_irae_detection_irae,brand,3,3,3
11_tecentriq_Cardiovascular_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Cardiovascular_toxicities_1_irae_detection_irae,brand,3,3,2
11_tecentriq_Cardiovascular_toxicities_2_irae_detection_irae,brand,3,3,3
11_tecentriq_Cardiovascular_toxicities_3_irae_detection_irae,brand,3,3,3
11_tecentriq_Cardiovascular_toxicities_4_irae_detection_irae,brand,2,3,2
11_tecentriq_Cardiovascular_toxicities_5_irae_detection_irae,brand,3,3,3
11_tecentriq_Cutaneous_toxicities_0_irae_detection_irae,brand,3,3,4
11_tecentriq_Cutaneous_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Cutaneous_toxicities_2_irae_detection_irae,brand,4,3,3
11_tecentriq_Cutaneous_toxicities_3_irae_detection_irae,brand,3,4,3
11_tecentriq_Cutaneous_toxicities_4_irae_detection_irae,brand,3,3,3
11_tecentriq_Cutaneous_toxicities_5_irae_detection_irae,brand,3,3,4
11_tecentriq_Cutaneous_toxicities_6_irae_detection_irae,brand,3,3,3
11_tecentriq_Cutaneous_toxicities_7_irae_detection_irae,brand,3,3,3
11_tecentriq_Cutaneous_toxicities_8_irae_detection_irae,brand,4,4,4
11_tecentriq_Cutaneous_toxicities_9_irae_detection_irae,brand,3,3,3
11_tecentriq_Endocrine_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Endocrine_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Endocrine_toxicities_2_irae_detection_irae,brand,3,3,3
11_tecentriq_Endocrine_toxicities_3_irae_detection_irae,brand,2,2,3
11_tecentriq_Endocrine_toxicities_4_irae_detection_irae,brand,4,3,4
11_tecentriq_GI_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_GI_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_GI_toxicities_2_irae_detection_irae,brand,4,4,4
11_tecentriq_GI_toxicities_3_irae_detection_irae,brand,3,3,3
11_tecentriq_GI_toxicities_4_irae_detection_irae,brand,2,1,2
11_tecentriq_GI_toxicities_5_irae_detection_irae,brand,1,1,1
11_tecentriq_Hematologic_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Hematologic_toxicities_1_irae_detection_irae,brand,2,2,1
11_tecentriq_Hematologic_toxicities_2_irae_detection_irae,brand,2,3,3
11_tecentriq_Hematologic_toxicities_3_irae_detection_irae,brand,3,3,3
11_tecentriq_Lung_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Lung_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Lung_toxicities_2_irae_detection_irae,brand,3,3,4
11_tecentriq_Musculoskeletal_toxicities_0_irae_detection_irae,brand,3,3,4
11_tecentriq_Musculoskeletal_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Musculoskeletal_toxicities_2_irae_detection_irae,brand,3,3,3
11_tecentriq_Nervous_system_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Nervous_system_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Ocular_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Ocular_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Ocular_toxicities_2_irae_detection_irae,brand,3,3,3
11_tecentriq_Renal_toxicities_0_irae_detection_irae,brand,3,3,3
11_tecentriq_Renal_toxicities_1_irae_detection_irae,brand,3,3,3
11_tecentriq_Renal_toxicities_2_irae_detection_irae,brand,3,3,3
11_tecentriq_Renal_toxicities_3_irae_detection_irae,brand,3,3,3
"12_opdivo,_yervoy_Cardiovascular_toxicities_0_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Cardiovascular_toxicities_1_irae_detection_irae",brand,3,4,4
"12_opdivo,_yervoy_Cardiovascular_toxicities_2_irae_detection_irae",brand,3,3,4
"12_opdivo,_yervoy_Cardiovascular_toxicities_3_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Cardiovascular_toxicities_4_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Cardiovascular_toxicities_5_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Cutaneous_toxicities_0_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_1_irae_detection_irae",brand,3,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_2_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_3_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_4_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_5_irae_detection_irae",brand,4,4,3
"12_opdivo,_yervoy_Cutaneous_toxicities_6_irae_detection_irae",brand,4,3,4
"12_opdivo,_yervoy_Cutaneous_toxicities_7_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_8_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Cutaneous_toxicities_9_irae_detection_irae",brand,3,4,3
"12_opdivo,_yervoy_Endocrine_toxicities_0_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Endocrine_toxicities_1_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Endocrine_toxicities_2_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Endocrine_toxicities_3_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Endocrine_toxicities_4_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_GI_toxicities_0_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_GI_toxicities_1_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_GI_toxicities_2_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_GI_toxicities_3_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_GI_toxicities_4_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_GI_toxicities_5_irae_detection_irae",brand,3,3,2
"12_opdivo,_yervoy_Hematologic_toxicities_0_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Hematologic_toxicities_1_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Hematologic_toxicities_2_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Hematologic_toxicities_3_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Lung_toxicities_0_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Lung_toxicities_1_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Lung_toxicities_2_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Musculoskeletal_toxicities_0_irae_detection_irae",brand,4,4,4
"12_opdivo,_yervoy_Musculoskeletal_toxicities_1_irae_detection_irae",brand,3,4,3
"12_opdivo,_yervoy_Musculoskeletal_toxicities_2_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Nervous_system_toxicities_0_irae_detection_irae",brand,3,3,4
"12_opdivo,_yervoy_Nervous_system_toxicities_1_irae_detection_irae",brand,4,4,3
"12_opdivo,_yervoy_Ocular_toxicities_0_irae_detection_irae",brand,3,4,3
"12_opdivo,_yervoy_Ocular_toxicities_1_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Ocular_toxicities_2_irae_detection_irae",brand,4,3,4
"12_opdivo,_yervoy_Renal_toxicities_0_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Renal_toxicities_1_irae_detection_irae",brand,3,3,3
"12_opdivo,_yervoy_Renal_toxicities_2_irae_detection_irae",brand,3,4,3
"12_opdivo,_yervoy_Renal_toxicities_3_irae_detection_irae",brand,4,4,3
13_libtayo_Cardiovascular_toxicities_0_irae_detection_irae,brand,3,3,3
13_libtayo_Cardiovascular_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Cardiovascular_toxicities_2_irae_detection_irae,brand,3,3,3
13_libtayo_Cardiovascular_toxicities_3_irae_detection_irae,brand,3,4,3
13_libtayo_Cardiovascular_toxicities_4_irae_detection_irae,brand,2,3,2
13_libtayo_Cardiovascular_toxicities_5_irae_detection_irae,brand,3,3,3
13_libtayo_Cutaneous_toxicities_0_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Cutaneous_toxicities_2_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_3_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_4_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_5_irae_detection_irae,brand,3,4,3
13_libtayo_Cutaneous_toxicities_6_irae_detection_irae,brand,3,3,3
13_libtayo_Cutaneous_toxicities_7_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_8_irae_detection_irae,brand,4,4,4
13_libtayo_Cutaneous_toxicities_9_irae_detection_irae,brand,3,3,3
13_libtayo_Endocrine_toxicities_0_irae_detection_irae,brand,4,4,4
13_libtayo_Endocrine_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Endocrine_toxicities_2_irae_detection_irae,brand,3,3,3
13_libtayo_Endocrine_toxicities_3_irae_detection_irae,brand,3,3,3
13_libtayo_Endocrine_toxicities_4_irae_detection_irae,brand,4,3,4
13_libtayo_GI_toxicities_0_irae_detection_irae,brand,4,3,4
13_libtayo_GI_toxicities_1_irae_detection_irae,brand,4,4,4
13_libtayo_GI_toxicities_2_irae_detection_irae,brand,4,4,4
13_libtayo_GI_toxicities_3_irae_detection_irae,brand,4,4,4
13_libtayo_GI_toxicities_4_irae_detection_irae,brand,2,3,1
13_libtayo_GI_toxicities_5_irae_detection_irae,brand,2,2,1
13_libtayo_Hematologic_toxicities_0_irae_detection_irae,brand,3,3,3
13_libtayo_Hematologic_toxicities_1_irae_detection_irae,brand,2,2,1
13_libtayo_Hematologic_toxicities_2_irae_detection_irae,brand,3,3,3
13_libtayo_Hematologic_toxicities_3_irae_detection_irae,brand,3,3,4
13_libtayo_Lung_toxicities_0_irae_detection_irae,brand,3,4,3
13_libtayo_Lung_toxicities_1_irae_detection_irae,brand,3,3,4
13_libtayo_Lung_toxicities_2_irae_detection_irae,brand,3,3,4
13_libtayo_Musculoskeletal_toxicities_0_irae_detection_irae,brand,4,4,3
13_libtayo_Musculoskeletal_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Musculoskeletal_toxicities_2_irae_detection_irae,brand,3,3,3
13_libtayo_Nervous_system_toxicities_0_irae_detection_irae,brand,3,3,3
13_libtayo_Nervous_system_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Ocular_toxicities_0_irae_detection_irae,brand,3,3,3
13_libtayo_Ocular_toxicities_1_irae_detection_irae,brand,3,3,4
13_libtayo_Ocular_toxicities_2_irae_detection_irae,brand,4,3,4
13_libtayo_Renal_toxicities_0_irae_detection_irae,brand,3,3,3
13_libtayo_Renal_toxicities_1_irae_detection_irae,brand,3,3,3
13_libtayo_Renal_toxicities_2_irae_detection_irae,brand,3,3,3
13_libtayo_Renal_toxicities_3_irae_detection_irae,brand,3,3,3
"14_imfinzi,_imjudo_Cardiovascular_toxicities_0_irae_detection_irae",brand,3,4,3
"14_imfinzi,_imjudo_Cardiovascular_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Cardiovascular_toxicities_2_irae_detection_irae",brand,3,4,3
"14_imfinzi,_imjudo_Cardiovascular_toxicities_3_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_Cardiovascular_toxicities_4_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Cardiovascular_toxicities_5_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_0_irae_detection_irae",brand,4,4,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_2_irae_detection_irae",brand,4,4,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_3_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Cutaneous_toxicities_4_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_Cutaneous_toxicities_5_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_6_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Cutaneous_toxicities_7_irae_detection_irae",brand,3,4,4
"14_imfinzi,_imjudo_Cutaneous_toxicities_8_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_Cutaneous_toxicities_9_irae_detection_irae",brand,3,4,3
"14_imfinzi,_imjudo_Endocrine_toxicities_0_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Endocrine_toxicities_1_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Endocrine_toxicities_2_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Endocrine_toxicities_3_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Endocrine_toxicities_4_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_GI_toxicities_0_irae_detection_irae",brand,4,4,Answer
"14_imfinzi,_imjudo_GI_toxicities_1_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_GI_toxicities_2_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_GI_toxicities_3_irae_detection_irae",brand,4,4,4
"14_imfinzi,_imjudo_GI_toxicities_4_irae_detection_irae",brand,3,3,2
"14_imfinzi,_imjudo_GI_toxicities_5_irae_detection_irae",brand,2,3,2
"14_imfinzi,_imjudo_Hematologic_toxicities_0_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Hematologic_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Hematologic_toxicities_2_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Hematologic_toxicities_3_irae_detection_irae",brand,3,4,4
"14_imfinzi,_imjudo_Lung_toxicities_0_irae_detection_irae",brand,3,4,3
"14_imfinzi,_imjudo_Lung_toxicities_1_irae_detection_irae",brand,3,3,4
"14_imfinzi,_imjudo_Lung_toxicities_2_irae_detection_irae",brand,4,3,3
"14_imfinzi,_imjudo_Musculoskeletal_toxicities_0_irae_detection_irae",brand,4,3,3
"14_imfinzi,_imjudo_Musculoskeletal_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Musculoskeletal_toxicities_2_irae_detection_irae",brand,3,4,4
"14_imfinzi,_imjudo_Nervous_system_toxicities_0_irae_detection_irae",brand,3,4,3
"14_imfinzi,_imjudo_Nervous_system_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Ocular_toxicities_0_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Ocular_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Ocular_toxicities_2_irae_detection_irae",brand,3,4,4
"14_imfinzi,_imjudo_Renal_toxicities_0_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Renal_toxicities_1_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Renal_toxicities_2_irae_detection_irae",brand,3,3,3
"14_imfinzi,_imjudo_Renal_toxicities_3_irae_detection_irae",brand,4,3,4
